run_id,phase,kind,axis,scene,ate_rmse,rpe_trans_rmse,rpe_rot_deg_rmse,mean_test_psnr,mean_test_lpips,n_frames,sync_accepted,run_dir
odom_freiburg2_desk_hybrid_sync5,odom,odometry,hybrid_sync5,freiburg2_desk,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg2_desk_hybrid_sync5
odom_freiburg2_desk_hybrid_sync33,odom,odometry,hybrid_sync33,freiburg2_desk,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg2_desk_hybrid_sync33
odom_freiburg2_desk_hybrid_prior,odom,odometry,hybrid_prior,freiburg2_desk,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg2_desk_hybrid_prior
odom_freiburg2_desk_icp_d003,odom,odometry,icp_d003,freiburg2_desk,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg2_desk_icp_d003
odom_freiburg2_desk_icp_d007,odom,odometry,icp_d007,freiburg2_desk,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg2_desk_icp_d007
odom_freiburg2_desk_icp_prior_gate,odom,odometry,icp_prior_gate,freiburg2_desk,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg2_desk_icp_prior_gate
odom_freiburg3_long_office_household_hybrid_sync5,odom,odometry,hybrid_sync5,freiburg3_long_office_household,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg3_long_office_household_hybrid_sync5
odom_freiburg3_long_office_household_hybrid_sync33,odom,odometry,hybrid_sync33,freiburg3_long_office_household,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg3_long_office_household_hybrid_sync33
odom_freiburg3_long_office_household_hybrid_prior,odom,odometry,hybrid_prior,freiburg3_long_office_household,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg3_long_office_household_hybrid_prior
odom_freiburg3_long_office_household_icp_d003,odom,odometry,icp_d003,freiburg3_long_office_household,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg3_long_office_household_icp_d003
odom_freiburg3_long_office_household_icp_d007,odom,odometry,icp_d007,freiburg3_long_office_household,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg3_long_office_household_icp_d007
odom_freiburg3_long_office_household_icp_prior_gate,odom,odometry,icp_prior_gate,freiburg3_long_office_household,,,,,,,,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg3_long_office_household_icp_prior_gate
