suite,run,method,frames,ate_rmse,rpe_trans_rmse,rpe_rot_deg_rmse,metrics
tum_odom_20260520_c,odom_freiburg1_desk_gt_raw,gt_raw,120,4.7111666763345766e-08,6.889247655049496e-08,0.017986065380254115,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_desk_gt_raw/metrics.json
tum_odom_20260520_c,odom_freiburg1_desk_hybrid_sync5,hybrid_sync5,90,0.05380904559624109,0.02253438052663857,1.1275890901055377,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_desk_hybrid_sync5/metrics.json
tum_odom_20260520_c,odom_freiburg1_desk_hybrid_sync33,hybrid_sync33,120,0.020659160834225553,0.007300589464441704,0.5686134416759461,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_desk_hybrid_sync33/metrics.json
tum_odom_20260520_c,odom_freiburg1_desk_hybrid_prior,hybrid_prior,120,0.02462716613025569,0.007341083621097946,0.5703915306598007,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_desk_hybrid_prior/metrics.json
tum_odom_20260520_c,odom_freiburg1_desk_icp_d003,icp_d003,120,0.12145447892550701,0.02935672510515062,2.7391668867541696,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_desk_icp_d003/metrics.json
tum_odom_20260520_c,odom_freiburg1_desk_icp_d007,icp_d007,120,0.12230358038188915,0.029706672691843433,2.6709162765404777,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_desk_icp_d007/metrics.json
tum_odom_20260520_c,odom_freiburg1_desk_icp_prior_gate,icp_prior_gate,120,0.12231659591670206,0.02977371652127929,2.6777362471860306,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_desk_icp_prior_gate/metrics.json
tum_odom_20260520_c,odom_freiburg1_xyz_hybrid_sync5,hybrid_sync5,120,0.027377011586161154,0.025858546697885856,1.1577602763584212,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_xyz_hybrid_sync5/metrics.json
tum_odom_20260520_c,odom_freiburg1_xyz_hybrid_sync33,hybrid_sync33,120,0.01436950204883768,0.0045553832217660305,0.3435108457336004,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_xyz_hybrid_sync33/metrics.json
tum_odom_20260520_c,odom_freiburg1_xyz_hybrid_prior,hybrid_prior,120,0.014737864385843793,0.004584377977761383,0.34352667597279074,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_xyz_hybrid_prior/metrics.json
tum_odom_20260520_c,odom_freiburg1_xyz_icp_d003,icp_d003,120,0.04260220581846925,0.024880816462128495,1.3908651281305753,output/tum_ablation_sweeps/tum_odom_20260520_c/runs/odom_freiburg1_xyz_icp_d003/metrics.json
tum_odom_focused_20260520,odom_freiburg2_desk_hybrid_sync5,hybrid_sync5,96,0.12177205286477448,0.04049972588738838,1.6508636897963775,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg2_desk_hybrid_sync5/metrics.json
tum_odom_focused_20260520,odom_freiburg2_desk_hybrid_sync33,hybrid_sync33,120,0.011359310714292624,0.0026074569958989,0.26852698588892593,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg2_desk_hybrid_sync33/metrics.json
tum_odom_focused_20260520,odom_freiburg3_long_office_household_hybrid_sync5,hybrid_sync5,118,0.044755629225932805,0.005075905512882229,0.2798317031284337,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg3_long_office_household_hybrid_sync5/metrics.json
tum_odom_focused_20260520,odom_freiburg3_long_office_household_hybrid_sync33,hybrid_sync33,118,0.044530659377336065,0.0054234552537919065,0.27923531130371787,output/tum_ablation_sweeps/tum_odom_focused_20260520/runs/odom_freiburg3_long_office_household_hybrid_sync33/metrics.json
