suite,run,iteration,mean_test_psnr,mean_test_lpips,report,test_contact_sheet
strict_sync_short_v1,short_freiburg1_desk_baseline_spf50,8000,17.82291657584054,0.41970478211130413,output/tum_ablation_sweeps/strict_sync_short_v1/runs/short_freiburg1_desk_baseline_spf50/comparison/iter_8000/report.json,output/tum_ablation_sweeps/strict_sync_short_v1/runs/short_freiburg1_desk_baseline_spf50/comparison/iter_8000/test_contact_sheet.png
strict_sync_short_v1,short_freiburg1_desk_baseline_spf150,20000,19.764245646340505,0.35594348183700014,output/tum_ablation_sweeps/strict_sync_short_v1/runs/short_freiburg1_desk_baseline_spf150/comparison/iter_20000/report.json,output/tum_ablation_sweeps/strict_sync_short_v1/runs/short_freiburg1_desk_baseline_spf150/comparison/iter_20000/test_contact_sheet.png
strict_sync_short_v1,short_freiburg1_desk_cap50000,8000,17.59397063936506,0.43158056480543955,output/tum_ablation_sweeps/strict_sync_short_v1/runs/short_freiburg1_desk_cap50000/comparison/iter_8000/report.json,output/tum_ablation_sweeps/strict_sync_short_v1/runs/short_freiburg1_desk_cap50000/comparison/iter_8000/test_contact_sheet.png
strict_sync_short_v1,short_freiburg1_desk_cap100000,8000,17.748554365975515,0.42571666623864857,output/tum_ablation_sweeps/strict_sync_short_v1/runs/short_freiburg1_desk_cap100000/comparison/iter_8000/report.json,output/tum_ablation_sweeps/strict_sync_short_v1/runs/short_freiburg1_desk_cap100000/comparison/iter_8000/test_contact_sheet.png
tum_short_focus_20260520,short_freiburg1_desk_score_depth_gap_only,8000,17.17324529375349,0.4427766501903534,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_score_depth_gap_only/comparison/iter_8000/report.json,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_score_depth_gap_only/comparison/iter_8000/test_contact_sheet.png
tum_short_focus_20260520,short_freiburg1_desk_score_weighted_topk,8000,17.738812378474645,0.4203376770019531,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_score_weighted_topk/comparison/iter_8000/report.json,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_score_weighted_topk/comparison/iter_8000/test_contact_sheet.png
tum_short_focus_20260520,short_freiburg1_desk_promote_support1,8000,17.563059329986572,0.4306984820536205,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_support1/comparison/iter_8000/report.json,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_support1/comparison/iter_8000/test_contact_sheet.png
tum_short_focus_20260520,short_freiburg1_desk_promote_support3,8000,17.75653750555856,0.4253555791718619,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_support3/comparison/iter_8000/report.json,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_support3/comparison/iter_8000/test_contact_sheet.png
tum_short_focus_20260520,short_freiburg1_desk_promote_age40,8000,17.893522126334055,0.41572578251361847,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_age40/comparison/iter_8000/report.json,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_age40/comparison/iter_8000/test_contact_sheet.png
tum_short_focus_20260520,short_freiburg1_desk_promote_opacity0.1,8000,17.848595482962473,0.4214388685567038,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_opacity0.1/comparison/iter_8000/report.json,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_opacity0.1/comparison/iter_8000/test_contact_sheet.png
tum_confirm_20260520,confirm_freiburg1_desk_spf150_age40,20000,19.618786471230642,0.3568745957953589,output/tum_ablation_sweeps/tum_confirm_20260520/confirm_freiburg1_desk_spf150_age40/comparison/iter_20000/report.json,output/tum_ablation_sweeps/tum_confirm_20260520/confirm_freiburg1_desk_spf150_age40/comparison/iter_20000/test_contact_sheet.png
